33670,7,6.89,4.32,0.285,0,0.43,0.645,0.01,0.0022
9580,6,0.37,0.65,0.038,0,0.04,0.032,0.002,0.00065
19270,15,0.9,2.68,0.106,0,0.06,0.247,0.006,0.00205
23000,12,1.07,1.86,0.052,0,0.08,0.14,0.004,0.00034
27380,24,1.46,2.1,0.056,0,0.05,0.134,0.006,0.00034
26880,13,1.37,1.77,0.1,0,0.094,0.235,0.005,0.00023
11400,70,5.5,0.92,0.4,2,0.088,0.299,0.06,0.0094
23660,11,0.73,1.28,0.07,0,0.042,0.145,0.007,0.00063
5060,10,0.69,0.4,0.1,0.5,0.034,0.069,0.002,0.0001
800,36,0.15,0.15,0.1,0.2,0.013,0.105,0.003,0
14720,187,1.22,1.9,0.065,2,0.096,0.14,0.005,0.00027
31690,6,1.02,2.2,0.067,0,0.082,0.135,0.008,0.0007
21990,8,0.41,1.1,0.043,0,0.049,0.155,0.007,0.00033
25940,5,0.58,0.51,0.058,0,0.042,0.28,0,0.0029
22270,13,0.91,1.49,0.061,0.5,0.067,0.199,0.002,0.00028
19810,11,1,2.32,0.085,0,0.055,0.229,0.006,0.00184
16700,18,3.7,3.21,0.488,3,0.165,1.13,0,0.0133
19700,10,1.22,2.08,0.107,4.6,0.163,0.279,0.01,0.00037
26970,13,0.55,1.49,0.062,0,0.038,0.208,0.009,0.0017
23570,13,1.15,0.97,0.069,6,0.077,0.153,0.006,0.00084
29500,6,0.43,0.82,0.034,0,0.079,0.227,0,0.0002
22700,12,1.15,0.96,0.065,5.3,0.072,0.143,0.006,0.00077
20290,33,0.83,1.51,0.061,0,0.065,0.185,0.007,0.0006
9930,418,30.38,0.55,0,0,0.78,0.71,0,0
2310,31,0.55,0,0,0.9,0,0,0,0
1740,19,1.3,0.74,0.1,3.2,0.024,0.032,0.008,0.00323
21850,15,1.56,2.93,0.357,0,0.367,0.357,0.003,0.00152
6540,21,1.48,1.3,0.288,1.3,0.082,0.052,0.001,0
3800,6,0.7,1,0.1,0,0.03,0.04,0.025,0.0001
2230,10,0.17,0.4,0.311,17.4,0.021,0.053,0.035,0
13100,40,0,1.6,0,1,1,1.13,0.019,0.004
